2024-12-30 10:55:07,522 INFO    MainThread:70468 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2024-12-30 10:55:07,523 INFO    MainThread:70468 [wandb_setup.py:_flush():68] Configure stats pid to 70468
2024-12-30 10:55:07,523 INFO    MainThread:70468 [wandb_setup.py:_flush():68] Loading settings from /Users/david/.config/wandb/settings
2024-12-30 10:55:07,523 INFO    MainThread:70468 [wandb_setup.py:_flush():68] Loading settings from /Users/david/github-classroom/DCC-UAB/ACproject-15-grup/wandb/settings
2024-12-30 10:55:07,523 INFO    MainThread:70468 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-30 10:55:07,523 INFO    MainThread:70468 [wandb_init.py:_log_setup():528] Logging user logs to /Users/david/github-classroom/DCC-UAB/ACproject-15-grup/wandb/run-20241230_105507-q96j2uzu/logs/debug.log
2024-12-30 10:55:07,524 INFO    MainThread:70468 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/david/github-classroom/DCC-UAB/ACproject-15-grup/wandb/run-20241230_105507-q96j2uzu/logs/debug-internal.log
2024-12-30 10:55:07,524 INFO    MainThread:70468 [wandb_init.py:init():644] calling init triggers
2024-12-30 10:55:07,524 INFO    MainThread:70468 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {'model': 'xgboost', 'features': 'SIFT', 'n_clusters': 16, 'num_dades': 800, 'num_directoris': 2, 'test_size': 0.2, 'val_size': 0}
2024-12-30 10:55:07,524 INFO    MainThread:70468 [wandb_init.py:init():680] starting backend
2024-12-30 10:55:07,524 INFO    MainThread:70468 [wandb_init.py:init():684] sending inform_init request
2024-12-30 10:55:07,580 INFO    MainThread:70468 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-12-30 10:55:07,580 INFO    MainThread:70468 [wandb_init.py:init():697] backend started and connected
2024-12-30 10:55:07,671 INFO    MainThread:70468 [wandb_init.py:init():790] updated telemetry
2024-12-30 10:55:07,741 INFO    MainThread:70468 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2024-12-30 10:55:11,942 INFO    MainThread:70468 [wandb_init.py:init():874] starting run threads in backend
2024-12-30 10:55:12,226 INFO    MainThread:70468 [wandb_run.py:_console_start():2374] atexit reg
2024-12-30 10:55:12,227 INFO    MainThread:70468 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2024-12-30 10:55:12,227 INFO    MainThread:70468 [wandb_run.py:_redirect():2289] Wrapping output streams.
2024-12-30 10:55:12,227 INFO    MainThread:70468 [wandb_run.py:_redirect():2314] Redirects installed.
2024-12-30 10:55:12,231 INFO    MainThread:70468 [wandb_init.py:init():916] run started, returning control to user process
